1379	body_diff
1465	body_match
2844	meta_match

-- failures (1379) --
BODY diff	andrewsiemer/2015/12/09/easy-way-to-gain-high-level-understanding/index.html
BODY diff	andrewsiemer/2016/01/07/value-stream-map/index.html
BODY diff	andrewsiemer/2016/01/11/testing-microservices/index.html
BODY diff	andrewsiemer/2016/04/12/are-you-learning-docker-yet/index.html
BODY diff	bradcarleton/2014/02/18/taming-callback-hell-in-node-js/index.html
BODY diff	chadmyers/2008/01/05/announcing-an-austin-tdd-randori-codingdojo-session/index.html
BODY diff	chadmyers/2008/01/06/working-with-activerecord-model-classes-outside-of-the-rails-environment/index.html
BODY diff	chadmyers/2008/01/10/austin-tdd-codingdojo-signup/index.html
BODY diff	chadmyers/2008/01/11/the-truth-which-makes-waterfall-advocates-go-blind/index.html
BODY diff	chadmyers/2008/01/12/101-great-computer-programming-quotes/index.html
BODY diff	chadmyers/2008/01/26/i-don-t-trust-me/index.html
BODY diff	chadmyers/2008/02/11/austin-tdd-codingdojo-complete/index.html
BODY diff	chadmyers/2008/02/11/you-need-to-blog-now/index.html
BODY diff	chadmyers/2008/02/24/i-find-your-lack-of-tests-disturbing/index.html
BODY diff	chadmyers/2008/03/08/pablo-s-topic-of-the-month-march-solid-principles/index.html
BODY diff	chadmyers/2008/03/16/time-to-login-screen-and-the-absolute-basic-requirements-for-good-software/index.html
BODY diff	chadmyers/2008/04/01/pablo-s-topic-of-the-month-april-advanced-language-patterns-for-visual-basic/index.html
BODY diff	chadmyers/2008/04/02/pablo-s-topic-of-the-month-april-design-patterns/index.html
BODY diff	chadmyers/2008/04/04/agile-arguments-part-1-the-kickoff/index.html
BODY diff	chadmyers/2008/04/06/agile-arguments-part-2-background-and-arguments-from-fear/index.html
BODY diff	chadmyers/2008/04/21/move-to-austin/index.html
BODY diff	chadmyers/2008/04/25/the-problem-preventer/index.html
BODY diff	chadmyers/2008/05/10/ot-you-can-save-lives/index.html
BODY diff	chadmyers/2008/05/14/ping-pong-pairing-session-screencast-with-ben-scheirman/index.html
BODY diff	chadmyers/2008/05/27/introducing-quality-first-notions-into-an-existing-team/index.html
BODY diff	chadmyers/2008/06/03/a-new-start/index.html
BODY diff	chadmyers/2008/06/07/more-on-quality/index.html
BODY diff	chadmyers/2008/06/08/some-consulting-wisdom-i-picked-up/index.html
BODY diff	chadmyers/2008/06/25/hosting-an-entire-asp-net-mvc-request-for-testing-purposes/index.html
BODY diff	chadmyers/2008/06/28/how-did-i-get-started-in-software-development/index.html
BODY diff	chadmyers/2008/07/06/exploring-shadetree-features-part-1-static-reflection-with-reflectionhelper/index.html
BODY diff	chadmyers/2008/07/08/exploring-shadetree-features-part-2-cache-lt-key-value-gt/index.html
BODY diff	chadmyers/2008/07/15/structuremap-users-mailing-list-set-up/index.html
BODY diff	chadmyers/2008/07/16/structuremap-basic-scenario-usage/index.html
BODY diff	chadmyers/2008/08/02/query-objects-with-the-repository-pattern/index.html
BODY diff	chadmyers/2008/08/02/stucturemap-advanced-level-usage-scenarios-part-1-type-convention-scanners/index.html
BODY diff	chadmyers/2008/08/11/dovetail-is-hiring-junior-to-mid-level-developer/index.html
BODY diff	chadmyers/2008/08/18/fluent-nhibernate-livemeeting-chat-wednesday-8-20/index.html
BODY diff	chadmyers/2008/08/18/let-s-try-it-again-testability-succinctly/index.html
BODY diff	chadmyers/2008/08/19/good-design-is-not-subjective/index.html
BODY diff	chadmyers/2008/08/30/thoughts-on-mvp-and-webforms/index.html
BODY diff	chadmyers/2008/09/03/opinionated-asp-net-mvc-by-joshua-flanagan/index.html
BODY diff	chadmyers/2008/09/05/continuous-improvement-workshop-s/index.html
BODY diff	chadmyers/2008/09/10/lostechies-welcomes-new-member-joshua-flanagan/index.html
BODY diff	chadmyers/2008/09/16/alt-net-a-year-or-so-later-from-an-observer-and-occasional-participant/index.html
BODY diff	chadmyers/2008/09/16/announcing-pablo-s-days-of-tdd-in-austin-tx/index.html
BODY diff	chadmyers/2008/10/06/pdotdd-it-s-a-wrap-thank-you-edition-part-1-2/index.html
BODY diff	chadmyers/2008/10/08/pdotdd-it-s-a-wrap-recap-edition-part-2-2/index.html
BODY diff	chadmyers/2008/10/24/the-3-most-dangerous-words-in-the-english-language-as-determined-by-software-developers/index.html
BODY diff	chadmyers/2008/11/06/cat-community-gt-chad-plan/index.html
BODY diff	chadmyers/2008/11/09/look-ma-no-code-behind/index.html
BODY diff	chadmyers/2008/11/18/announcing-alt-net-online-open-meeting/index.html
BODY diff	chadmyers/2008/12/02/alt-net-online-open-meeting-3-dec/index.html
BODY diff	chadmyers/2008/12/09/alt-net-online-open-meeting-10-dec-featuring-jeremy-miller/index.html
BODY diff	chadmyers/2009/01/07/van-virtual-alt-net-meeting-wednesday-night/index.html
BODY diff	chadmyers/2009/04/01/virtual-alt-net-meeting-tonight/index.html
BODY diff	chadmyers/2009/04/20/virtual-alt-net-meeting-about-s-harp-architecture/index.html
BODY diff	chadmyers/2009/05/17/austin-codecamp-09-quite-possibly-better-than-bacon/index.html
BODY diff	chadmyers/2009/05/28/lifecycle-of-an-open-source-project/index.html
BODY diff	chadmyers/2009/06/14/on-the-performance-of-opinionated-builders/index.html
BODY diff	chadmyers/2009/06/19/how-to-write-unmaintainable-code/index.html
BODY diff	chadmyers/2009/07/13/van-is-a-friend-of-pablos/index.html
BODY diff	chadmyers/2009/07/14/just-say-no-to-poor-man-s-dependency-injection/index.html
BODY diff	chadmyers/2009/09/18/dovetail-is-hiring-a-junior-to-mid-level-net-developer/index.html
BODY diff	chadmyers/2010/01/24/fubumvc-diagnostics/index.html
BODY diff	chadmyers/2010/02/03/thinking-about-sessions-for-pablo-s-fiesta/index.html
BODY diff	chadmyers/2010/06/22/on-leadership/index.html
BODY diff	chadmyers/2011/01/29/announcing-atx-code-lunch/index.html
BODY diff	chadmyers/2011/05/30/cool-stuff-in-fubucore-no-1-cache/index.html
BODY diff	chadmyers/2011/05/31/cool-stuff-in-fubucore-no-2-extension-methods/index.html
BODY diff	chadmyers/2011/06/01/cool-stuff-in-fubucore-no-3-static-reflection/index.html
BODY diff	chadmyers/2011/06/02/cool-stuff-in-fubucore-no-4-dependency-analysis-with-directed-graph/index.html
BODY diff	chadmyers/2011/06/03/cool-stuff-in-fubucore-no-5-easy-configuration/index.html
BODY diff	chadmyers/2011/06/06/cool-stuff-in-fubucore-no-6-command-line/index.html
BODY diff	chadmyers/2011/06/08/cool-stuff-in-fubucore-no-7-model-binding/index.html
BODY diff	chadmyers/2011/06/10/cool-stuff-in-fubucore-no-9-stringification/index.html
BODY diff	chadmyers/2011/10/07/cool-stuff-in-fubumvc-no-2-action-conventions/index.html
BODY diff	chadmyers/2011/12/30/sweet-sweet-vindication/index.html
BODY diff	chrismissal/2009/01/13/getting-started-with-fluent-nhibernate/index.html
BODY diff	chrismissal/2009/01/15/testing-your-code-to-test-yourself/index.html
BODY diff	chrismissal/2009/01/17/the-aggressive-class-vs-the-laid-back-class/index.html
BODY diff	chrismissal/2009/01/22/learning-structuremap-through-tiny-goals/index.html
BODY diff	chrismissal/2009/03/04/ongoing-maintenance-amp-debt-reduction/index.html
BODY diff	chrismissal/2009/04/21/a-few-of-my-favorite-things/index.html
BODY diff	chrismissal/2009/05/28/anti-patterns-and-worst-practices-monster-objects/index.html
BODY diff	chrismissal/2009/06/01/anti-patterns-and-worst-practices-utils-class/index.html
BODY diff	chrismissal/2009/07/10/lostechies-welcomes-keith-dahlby/index.html
BODY diff	chrismissal/2009/07/14/a-different-type-of-r-and-r/index.html
BODY diff	chrismissal/2009/07/23/we-remembered-not-to-dive-too-deep-too-soon/index.html
BODY diff	chrismissal/2009/08/01/zero-percent-in-google-analytics-site-overlay/index.html
BODY diff	chrismissal/2009/09/16/actually-querying-with-the-specification-pattern/index.html
BODY diff	chrismissal/2009/09/24/will-git-drive-open-source-contribution/index.html
BODY diff	chrismissal/2010/01/14/seo-tips-for-developers-page-speed/index.html
BODY diff	chrismissal/2010/01/19/seo-tips-for-developers-site-structure/index.html
BODY diff	chrismissal/2010/02/02/how-i-approach-a-defect/index.html
BODY diff	chrismissal/2010/02/25/unique-keys-versus-ids-in-web-applications/index.html
BODY diff	chrismissal/2010/03/05/why-is-cruisecontrol-net-hiding-my-test-results/index.html
BODY diff	chrismissal/2010/03/11/one-year-of-production-asp-net-mvc/index.html
BODY diff	chrismissal/2010/03/18/working-with-assertions-made-on-arguments-in-rhino-mocks/index.html
BODY diff	chrismissal/2010/08/18/comments-are-the-devil/index.html
BODY diff	chrismissal/2010/12/23/quirk-with-invalid-git-config/index.html
BODY diff	chrismissal/2011/03/06/resharper-easter-egg/index.html
BODY diff	chrismissal/2011/03/12/using-appharbor-for-continuous-integration/index.html
BODY diff	chrismissal/2011/05/04/queue-is-always-empty-using-yield-return/index.html
BODY diff	chrismissal/2011/12/09/super-simple-versioning-of-third-party-scripts/index.html
BODY diff	chrismissal/2012/05/31/my-c-wish-list/index.html
BODY diff	chrismissal/2012/06/08/load-external-javascript-files-in-onx/index.html
BODY diff	chrismissal/2012/06/12/debugger-trick-when-working-with-utc-datetimes/index.html
BODY diff	chrismissal/2012/06/13/using-my-powers-for-good/index.html
BODY diff	chrismissal/2012/06/28/thinking-linq/index.html
BODY diff	chrismissal/2012/07/20/why-source-control-matters-and-hopefully-its-git/index.html
BODY diff	chrismissal/2012/10/02/extending-objects-in-ext-js/index.html
BODY diff	chrismissal/2012/10/03/extending-objects-in-dojo/index.html
BODY diff	chrismissal/2012/10/05/extending-objects-in-underscore/index.html
BODY diff	chrismissal/2013/01/30/a-timely-post-introducing-palmer-and-tempusreader/index.html
BODY diff	chrismissal/2013/02/21/introducing-formo-dynamic-configuration/index.html
BODY diff	chrismissal/2013/08/06/browser-wars-websockets-vs-ajax/index.html
BODY diff	chrismissal/2013/08/13/single-page-apps-realtime-a-love-story/index.html
BODY diff	chrismissal/2013/08/20/realtime-user-interface-design/index.html
BODY diff	chrismissal/2013/10/29/pablos-fiesta-experience/index.html
BODY diff	chrismissal/2014/07/18/your-old-crappy-code/index.html
BODY diff	chrismissal/2015/07/22/who-wants-cake/index.html
BODY diff	chrismissal/2015/07/27/texas-javascript-2015/index.html
BODY diff	chrismissal/2015/08/18/fake-it-till-you-make-it/index.html
BODY diff	chrispatterson/2008/01/06/resharper-3-1-solution-wide-analysis/index.html
